,Lambda,ECS_Fargate,ECS_EC2,EKS_Fargate,EKS_EC2,RKE,,,,,,,,
,,123054.6,,294579.69,1182603,856164.38,,,,,,,,
,,130627.52,185993.05,292836.22,1199763,920895.06,,,,,,,,
Average,#DIV/0!,128909.9467,183134.68,291998.3033,1188941.54,874781.6667,,,,,,,,
,,,,,,,,,,,,,,
Redis - GET,,,,,,,,,,,,,,
,,164609.58,221470,368479.31,1737971.5,1318408.38,,,,,,,,
,,157805.44,,382394.56,1807384,1390060.62,,,,,,,,
,,165680.67,222954.12,371085.06,1852881,1406883.5,,,,,,,,
Average,#DIV/0!,162698.5633,222212.06,373986.31,1799412.167,1371784.167,,,,,,,,
,,,,,,,,,,,,,,
Redis - SET,,,,,,,,,,,,,,
,,143508.67,201368.3,308080.34,1215533.25,1034560.69,,,,,,,,
,,136701.98,,319730.91,1323489,1041920.44,,,,,,,,
,,139278.14,201818.73,317383.78,1410044,1046380.25,,,,,,,,
Average,#DIV/0!,139829.5967,201593.515,315065.01,1316355.417,1040953.793,,,,,,,,
,,,,,,,,,,,,,,
tool-container-benchmark - on-prem - default,,,,,,,,,,,,,,
,,168,163,147, 165,27,,,,,,,,
,,172, 164,137,150,32,,,,,,,,
,,181,171,143,149,29,,,,,,,,
Average,#DIV/0!,173.6666667,167,142.3333333,149.5,29.33333333,,,,,,,,
,,,,,,,,,,,,,,
tool-container-benchmark - on-prem - 30000,,,,,,,,,,,,,,
,,,,147, 165,27,,,,,,,,
,,,,137,150,32,,,,,,,,
,,,,143,149,29,,,,,,,,
Average,13.54,10.27,9.59,10.36,10.25,1.55,,,,,,,,
,,,,,,,,,,,,,,
tool-container-benchmark - RDS - default,,,,,,,,,,,,,,
,, 43.14,37.56,40.31,32.31, 156,,,,,,,,
,,35.52,37.57,39.46,33.57, 156,,,,,,,,
,,35.52,38.1,39.58,32.14, 157,,,,,,,,
Average,#DIV/0!,35.52,37.74333333,39.78333333,32.67333333,156,,,,,,,,
,,,,,,,,,,,,,,
tool-container-benchmark - RDS - 30000,,,,,,,,,,,,,,
, 3.10,1.37,2.34,2.39,2.12, 10.31,,,,,,,,
,3.14,1.55,2.35,2.42,2.12,10.4,,,,,,,,
,3.14,1.56,2.32,2.4,2.8,10.32,,,,,,,,
Average,3.14,1.493333333,2.336666667,2.403333333,2.346666667,10.36,,,,,,,,
